names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
HDAC10,2.9022899,0.13712247,0.0037044553312718374,0.008145808902692479,0.10578637049225284,0.08921444725289344
BRI3BP,2.902112,0.014300115,0.0037065609522290714,0.00814939999267521,0.1798985328397093,0.15859052813622457
RAPGEF2,2.9020767,0.20532002,0.003706976130865604,0.00814939999267521,0.12854792266556972,0.1126945589996009
ABCB7,2.9019225,0.05543474,0.003708801899468584,0.008152437648287164,0.1260112436583025,0.10827125182918718
MICAL3,2.9004724,0.048801478,0.0037260056516562126,0.008188293210061008,0.11085972850678733,0.09362112544898231
YME1L1,2.8991058,0.09754053,0.0037422858836550846,0.008223086537792126,0.4874537227478404,0.4618365039244379
UBXN2B,2.898651,0.06668065,0.0037477184558999187,0.008233053190808616,0.12594268476621417,0.10862046029000931
NEFM,2.8979542,0.6360337,0.003756054978311654,0.008250379884768547,0.03215412038941451,0.016545829453239323
UBL3,2.8976357,0.08541499,0.0037598717904763087,0.00825777583073391,0.2948032359797066,0.27343022482373286
RNF185,2.8973355,0.13265184,0.003763471380745389,0.008264692981923944,0.09851912793089264,0.08176466675535453
ASPH,2.897035,0.09150823,0.003767079240809437,0.008271626637228184,0.2907582613464966,0.2722828255953173
RCBTB2,2.8966765,0.115173556,0.0037713845337344234,0.008280089850998176,0.12676539147127383,0.10943528003192764
NCAPD2,2.896638,0.10271574,0.0037718474580773994,0.00828011611403146,0.12553133141368436,0.1083045097778369
PEX11A,2.892727,0.20502725,0.0038191324111097,0.008379365657528092,0.0729466611819553,0.05690435013968338
NPAT,2.8922682,-0.034574427,0.003824713146997023,0.008390150309678894,0.19313039901275195,0.17049687375282693
MTX2,2.891284,0.042356487,0.0038367117517598194,0.008415465831329834,0.2066365007541478,0.1850139683384329
AP1AR,2.8882847,0.110719845,0.003873492673993046,0.00848904261007237,0.14993829699712052,0.1328322469070108
AP1S3,2.888022,0.18435365,0.003876729491862441,0.008495122353513103,0.07397504456327986,0.0579020885991752
WASHC4,2.8878934,0.049577035,0.003878311892334509,0.008497575734505242,0.2616892911010558,0.23930756950911267
ZNF655,2.8877292,0.03395068,0.0038803382210998182,0.008501001083118217,0.28397093102975457,0.2585805507516296
SLC10A7,2.8873816,0.23286228,0.0038846288711717777,0.00850837059567995,0.07740298916769504,0.06147731807902088
SIDT1,2.8861918,0.14504237,0.0038993447652831826,0.008537547011133378,0.06862745098039216,0.05234801117467074
C9orf72,2.8829181,0.030152088,0.003940097012826098,0.008624716410646159,0.13177019059372,0.11377544233071704
TRIM46,2.882761,1.3523757,0.003942064291976268,0.008627994095240942,0.021938845468257234,0.006535186909671411
PEX19,2.882107,0.050006647,0.003950256141443639,0.008644893088563367,0.12333744686685863,0.10564387388585872
TSN,2.8781295,0.022749674,0.004000408229358799,0.008750475994669634,0.21760592348827643,0.1954735931887721
OTUB2,2.877203,1.0130016,0.004012174482309317,0.008773077964711369,0.03092006033182504,0.015581348942397233
NCAPD3,2.8762372,0.017228877,0.004024471331260121,0.008798696094414827,0.1530234471410942,0.13363043767460422
LRRC42,2.8761702,0.10354164,0.004025327988295003,0.008798696094414827,0.1138763197586727,0.09683051749368099
RFX2,2.8754287,0.142166,0.0040347922243408295,0.008816234681794832,0.05779514603044015,0.04187175735000665
TANGO6,2.8723147,0.23980878,0.004074771267606946,0.008902531561700514,0.05608117372823255,0.04030863376346947
ZNF638,2.8684638,0.07904522,0.004124703759483588,0.009006265397535755,0.3793363499245852,0.3532493015830784
WDR74,2.8680868,0.10060659,0.004129621583725572,0.009013787672228392,0.24091594679829975,0.22216309698017828
RBAK,2.8679087,0.09935043,0.004131948377312678,0.009016722623703123,0.09570821335527217,0.07912065983770121
IFFO1,2.866509,0.28142473,0.0041502633447357395,0.00905238599105404,0.056698203757027284,0.04094053478781429
ZNF580,2.8655972,0.06692931,0.004162234821759886,0.009076341278186848,0.206225147401618,0.18561261141412796
RETREG3,2.8649907,-0.0040498422,0.00417021535892137,0.00909266407851268,0.1851090086384204,0.16436078222695225
DDX20,2.8634596,0.037192516,0.004190421311892865,0.009134551312794123,0.09378856437679967,0.07689237727816949
AP1S1,2.8634114,0.06804929,0.004191060898381528,0.009134861010824221,0.24132730015082957,0.21855460955168285
SLC16A8,2.8625076,0.3433371,0.004203031246429384,0.00915986429859821,0.04003839297956945,0.024411334308899826
RELA,2.8614419,0.07933944,0.004217189538453254,0.00918962937521246,0.232620320855615,0.21245177597445788
NUF2,2.8611858,0.37969694,0.0042205977191571865,0.009195964723085925,0.05498423145481969,0.03949381402155115
CCDC69,2.860284,0.1750238,0.004232615998503453,0.009221056282453951,0.19984917043740574,0.18581215910602633
CDC20,2.8573942,0.34135005,0.004271350172062067,0.009302130294061394,0.05772658713835185,0.04212119196487961
ZNF362,2.8540637,0.0908256,0.004316387018313249,0.009396867683572393,0.0890580008227067,0.07246907010775576
BRF2,2.8520422,0.11625809,0.0043439334455376505,0.009455715707589426,0.0782256958727547,0.06199281628309166
PIP4P1,2.8516395,0.023299647,0.004349438987617676,0.009465455642011159,0.16303304538598656,0.14377411201277104
FAR1,2.8505163,0.0656824,0.004364830620392079,0.009497825909103929,0.2706705059646236,0.24778834641479314
BTF3L4,2.8468554,0.06486194,0.004415341902665146,0.00960432326440407,0.334841628959276,0.30998071038978314
MAP2K7,2.846632,0.056589976,0.0044184406657940024,0.009609925262336375,0.15741121623474566,0.13898496740721034
CCDC15,2.8449814,0.310827,0.004441401219431912,0.00965757553173725,0.04785410667763609,0.03235998403618465
KRI1,2.8444018,0.042090036,0.0044494890676063225,0.009672871036031221,0.14301384889620183,0.12493348410270054
MRE11,2.8441935,0.023235526,0.00445240025124666,0.009678053866833186,0.17036884683943507,0.15085805507516295
KLHL20,2.843493,0.0011906017,0.004462198549492754,0.009697824401622706,0.11305361305361306,0.09541705467606758
MTMR10,2.8434677,0.114835665,0.004462552059763098,0.009697824401622706,0.10366104483751543,0.08701942264201144
KLHL26,2.8407764,0.37695333,0.004500385741104429,0.00977542806752781,0.037296037296037296,0.021900359185845417
ZNF26,2.840776,0.08062167,0.0045003917790323285,0.00977542806752781,0.09728506787330317,0.08060063855261407
KIF21B,2.8393586,0.2669352,0.004520432740417195,0.009816636965913676,0.059714795008912656,0.04395037914061461
ITGAV,2.8391836,0.06739589,0.0045229128314462725,0.00982086122258574,0.22158233922939805,0.2004290275375815
MAPK3,2.8390617,0.08020294,0.004524641740903566,0.009823453589302398,0.1903880433292198,0.1715611281096182
ATP8A1,2.8376482,0.21275368,0.004544725659603412,0.009865891207847984,0.1051693404634581,0.08921444725289344
MTA1,2.8365583,0.056308784,0.004560265464431692,0.009897285365535495,0.1816125051419169,0.16234867633364375
PSMD12,2.8343306,0.07274851,0.004592181302337773,0.009963020311027276,0.33237350884409705,0.30690435013968337
POLR2D,2.8341525,0.043259677,0.00459474008872777,0.009967393994462498,0.13581516522692993,0.11808234668085672
SLC2A9,2.8328083,0.6736509,0.0046141049639429116,0.01000821987512768,0.03709036061977238,0.021883730211520555
DDX10,2.8321612,0.100512385,0.004623454668598433,0.010026540236409837,0.1495269436445907,0.13238326460023947
AACS,2.832148,0.08012304,0.00462364338443887,0.010026540236409837,0.12409159467982997,0.10717373952374618
PLAAT2,2.8297606,0.25237995,0.004658286705222525,0.010098087626279902,0.02989167695050048,0.014600239457230277
DMRTA1,2.829144,0.45696568,0.004667268105624252,0.010116362848231246,0.037638831756478815,0.022349341492616734
UNC119,2.8280163,0.065836646,0.004683743956287932,0.010149678128337392,0.14356232003290828,0.12571504589596913
SLC30A7,2.8254395,0.019962061,0.004721581120690915,0.010226843335732675,0.19813519813519814,0.17711520553412266
SLC35A5,2.8248491,0.06835278,0.004730287591535757,0.01024328464066376,0.09145756204579734,0.07489690035918585
USP1,2.8214319,0.053639013,0.004780979196040223,0.010349393895130222,0.29775126833950366,0.2754423307170414
USP2,2.8207736,1.0558344,0.004790800592113669,0.010369431766096792,0.02399561223090635,0.008896501263802049
CROCC,2.8201933,0.049158517,0.004799472088097503,0.010385752151980938,0.06910736322501028,0.052979912199015565
MVK,2.81979,0.11323754,0.004805510857408215,0.010395144304061292,0.08679555738379267,0.07070639882932021
IMPDH1,2.8194084,0.020272452,0.004811226153430059,0.010405381757061202,0.1604963663787193,0.141462684581615
SYNRG,2.81935,0.05695027,0.0048121017807865405,0.010405723801321595,0.409296585767174,0.377444459225755
SBF2,2.8193023,0.07395005,0.004812817143834401,0.010406045169329184,0.15597147950089127,0.13732206997472396
MFHAS1,2.8189209,0.01036553,0.004818540301792253,0.010416612035714925,0.168997668997669,0.14967739789809764
MNX1,2.817401,1.3009323,0.0048414042553331735,0.010464158155641248,0.022487316604963663,0.007433151523214048
FP565260.1,2.81556,0.4032694,0.004869230554676298,0.010520586280820372,0.04188948306595366,0.02665624584275642
PALM2AKAP2,2.8141544,0.08979803,0.004890573521042692,0.010565457162003161,0.16831208007678597,0.15080816815218837
RIC8B,2.8138597,0.09465392,0.0048950574857728425,0.010573900058385313,0.07678595913890031,0.060778901157376615
TRIO,2.8106198,0.12155595,0.004944617254816569,0.010674675769040215,0.13499245852187028,0.11823200744978049
HMMR,2.8104277,0.34338844,0.004947570224084786,0.0106772845421275,0.055121349238996295,0.03975987761074897
COMMD10,2.8097687,-0.01840622,0.004957710568835334,0.010696653790174567,0.16433566433566432,0.14473859252361315
RAB18,2.8096962,0.05987561,0.004958827812670353,0.010697807245733798,0.3034416563828329,0.2802314753226021
DLK2,2.8096576,0.25834396,0.004959424428427286,0.01069783739783287,0.03571918277800631,0.0203538645736331
KLF16,2.8095171,0.08435382,0.004961587292553484,0.010701245657062671,0.12354312354312354,0.10667487029400026
ING3,2.8055654,0.05703624,0.005022838322881394,0.010823182073280752,0.17701905937200055,0.15864041505919915
