names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
KCNJ5,-0.4969476,-1.1113843,0.6192260200036701,0.8535742457422963,0.003577106518282989,0.007056301545240718
FBXO3,-0.49716595,0.11175738,0.6190720382950224,0.8534260601497791,0.14917859035506095,0.15724834013159852
SFTPD,-0.49721715,-0.34980258,0.619035926448064,0.8534260601497791,0.00688924218335983,0.010390925060291184
AGBL2,-0.49856955,-0.5827201,0.6180826685550782,0.8522541211579897,0.0042395336512983575,0.007741090302795724
PFN4,-0.4986714,-0.71220404,0.6180108927791905,0.8522191515072263,0.0029146793852676206,0.006416172924047995
FGF10,-0.49913007,-0.6654786,0.6176877486887642,0.8518375209309298,0.005564387917329093,0.009066007681543455
ZNF501,-0.49958143,-0.06793071,0.617369831254785,0.8514630415134911,0.014573396926338102,0.01813201536308691
PDE10A,-0.5001186,-0.3936984,0.6169915553633362,0.8510052545091809,0.013910969793322734,0.017402566469169618
TXLNB,-0.50024414,-0.26568466,0.6169031933414151,0.8509473017009783,0.01232114467408585,0.015854348408610473
ACTBL2,-0.5003452,-2.4137707,0.6168320718870874,0.8509131233597905,0.000794912559618442,0.0043022598028999316
ASPA,-0.50067127,-0.4628039,0.6166024870511954,0.850724245923279,0.005961844197138315,0.009482835620924763
CNIH2,-0.5007053,-0.38865578,0.6165785204758001,0.850724245923279,0.007419183889772125,0.010941733408759341
DLEU7,-0.5010613,-0.26884246,0.6163279852925643,0.8505372520072734,0.007021727609962904,0.010554678893619555
TAS2R30,-0.50108606,-0.40317112,0.6163105584200594,0.8505372520072734,0.006491785903550609,0.010018757257272158
IGHV1-3,-0.5012118,-1.1566896,0.6162220411680404,0.8505188978340517,0.003577106518282989,0.0070860749694822405
BRWD1,-0.5012723,0.07948902,0.6161794677434504,0.8505188978340517,0.2514573396926338,0.26852651323428706
C16orf71,-0.5013531,-1.9607285,0.6161226391840962,0.8505095690594083,0.0013248542660307366,0.004838181439247328
GALNT9,-0.5015715,-3.1699238,0.6159689957861221,0.850361408393157,0.00026497085320614734,0.003781224878673296
TRIM46,-0.5020138,-0.23144321,0.6156578006847231,0.8500596238812003,0.006359300476947536,0.00989966356030607
H4C9,-0.5021759,-0.56898093,0.6155437922941256,0.849966125465326,0.0051669316375198724,0.008693839878524429
FAM216B,-0.5024593,-2.9764414,0.6153444978351968,0.8497548379025308,0.0006624271330153683,0.004183166105933844
LRFN5,-0.5030322,-0.7290034,0.6149416416063835,0.8493262736222964,0.005961844197138315,0.009482835620924763
USP51,-0.503331,0.109660365,0.6147315534268695,0.8490999813789777,0.041202967673555906,0.04521094471075118
HYAL1,-0.50338537,-0.41942552,0.6146933769525782,0.8490999813789777,0.00980392156862745,0.013338494060201864
TLX2,-0.5034855,-1.0537474,0.6146229609091026,0.8490777357047651,0.0027821939586645467,0.006311965939202668
GSDMA,-0.5040607,-2.3714523,0.6142187308036808,0.8486470100298279,0.0005299417064122947,0.004064072408967756
MYO15A,-0.50476223,-1.3380977,0.6137258631801275,0.8480936685369398,0.0022522522522522522,0.005790931014976033
HOXC5,-0.5058363,-3.068526,0.6129715781181264,0.8471788593019886,0.00026497085320614734,0.003810998302914818
ZNF711,-0.50611377,-0.32916868,0.6127767992309558,0.8469734124269482,0.012983571807101218,0.01653913716616548
KCNK17,-0.5065206,-1.4796621,0.6124911993375624,0.8466423933627178,0.001987281399046105,0.0055378569089230955
JAM2,-0.5065561,-0.26970202,0.6124663158270306,0.8466423933627178,0.023317435082140965,0.026825855241611338
LRRN4CL,-0.5076372,-0.31751254,0.6117077809294789,0.8458141852282673,0.020932697403285638,0.024429094590168815
FGFR4,-0.5081443,-0.98803365,0.6113521512618816,0.8454497890577245,0.003179650238473768,0.006743680590704737
ISL1,-0.5081471,-0.05904986,0.6113501779898862,0.8454497890577245,0.03616852146263911,0.03986661505939798
PCDHB13,-0.50824165,-0.81067675,0.6112838776910451,0.8454497890577245,0.0045045045045045045,0.008068597969452466
CES3,-0.50840235,-1.0220238,0.6111712139551722,0.8453905875720141,0.0022522522522522522,0.005820704439217554
SLC13A5,-0.5084792,-3.0375748,0.6111173517079473,0.8453797705650283,0.0005299417064122947,0.004093845833209277
ATF4,-0.5084862,-0.028801018,0.6111124193728767,0.8453797705650283,0.4281928987811341,0.4591806353648733
RBP4,-0.5089581,-2.6175816,0.6107815986329534,0.8450426442995749,0.000794912559618442,0.0043618066513829755
H4C15,-0.5095068,-0.09112818,0.6103970232561182,0.8446378584675248,0.020932697403285638,0.024563074999255665
RHOJ,-0.50954425,-0.263072,0.6103707971584587,0.8446378584675248,0.019475357710651828,0.02302974365081728
FMO2,-0.5102255,-4.209444,0.6098934907430817,0.8441955811182603,0.00026497085320614734,0.00384077172715634
CDKL5,-0.51083106,0.12504499,0.6094693576265704,0.8437357215849701,0.047429782723900374,0.05159734421055766
VWA5B2,-0.5108783,-1.9831424,0.6094362523815342,0.8437357215849701,0.000794912559618442,0.004376693363503737
FBXO4,-0.5118891,0.07182404,0.6087286221008807,0.8428373599573389,0.07286698463169052,0.0773513561794742
ACBD7,-0.5119589,-1.0739834,0.6086797791695264,0.8428332899948472,0.0029146793852676206,0.006505493196772561
ARHGAP27,-0.51202106,0.23527229,0.6086362552857499,0.8428332899948472,0.11605723370429252,0.12376812457200703
MTX3,-0.51227826,0.1284737,0.6084562662503866,0.8426508903773834,0.08373078961314255,0.08896299163366779
CFAP100,-0.51229936,-3.8601718,0.6084414979620324,0.8426508903773834,0.00026497085320614734,0.0038556584392771013
FP565260.3,-0.5123562,-0.94993734,0.6084017228329063,0.8426508903773834,0.003179650238473768,0.006773454014946259
MKRN1,-0.5124322,0.1390412,0.608348559865285,0.8426508903773834,0.22986221515633282,0.24746181558341024
EFCAB1,-0.51260865,-0.940826,0.6082251116248567,0.8425849761991847,0.0041070482246952835,0.0076964301664334414
SBDS,-0.5128101,-0.043028258,0.6080841540826052,0.8425168392024385,0.4285903550609433,0.46123500163753833
