Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Defense Response (GO:0006968),3/48,0.00022118269051524107,0.01951937243797,0,0,28.84927536231884,242.8105476163672,TRAT1;CXCR2;MNDA
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),3/59,0.00040793755585084526,0.0265228143170134,0,0,23.169642857142858,180.82507833829405,RIPOR2;DUSP1;CXCL13
GO_Biological_Process_2023,Response To Chemokine (GO:1990868),2/13,0.00045081270793790576,0.0265228143170134,0,0,77.13733075435204,594.3013702661294,RIPOR2;DUSP1
GO_Biological_Process_2023,Dendritic Cell Chemotaxis (GO:0002407),2/15,0.0006049677843536496,0.0273233835277226,0,0,65.26350245499182,483.6244393301046,CXCR1;CXCR2
GO_Biological_Process_2023,Intermediate Filament Organization (GO:0045109),3/68,0.0006192268221580207,0.0273233835277226,0,0,19.95250836120401,147.38995579964336,KRT15;KRT1;KRT13
GO_Biological_Process_2023,Negative Regulation Of Cell Adhesion (GO:0007162),3/72,0.0007318587259534681,0.0287051255846193,0,0,18.792060491493384,135.67723088670897,RIPOR2;DUSP1;MUC21
GO_Biological_Process_2023,Dendritic Cell Migration (GO:0036336),2/18,0.0008773987974909651,0.030972177551431,0,0,53.0186170212766,373.1741306231756,CXCR1;CXCR2
GO_Biological_Process_2023,Positive Regulation Of Hormone Secretion (GO:0046887),2/19,0.0009790903375910178,0.0314198990154208,0,0,49.897371714643306,345.7332324601132,HCAR2;EDN3
GO_Biological_Process_2023,Positive Regulation Of Heart Contraction (GO:0045823),2/21,0.0011986387553308,0.0352599567193165,0,0,44.64053751399776,300.277644028063,RGS2;EDN3
GO_Biological_Process_2023,Peptide Cross-Linking (GO:0018149),2/27,0.0019847485989451,0.0538935581098182,0,0,33.91659574468085,211.03797957730015,KRT1;SPRR1A
GO_Biological_Process_2023,Regulation Of Vasculature Development (GO:1901342),2/30,0.002448238177796,0.0617305769115726,0,0,30.27811550151976,182.0437366477304,KRT1;CXCL13
GO_Biological_Process_2023,Regulation Of MAP Kinase Activity (GO:0043405),3/114,0.0027457885257051,0.0646175566382622,0,0,11.656874265569918,68.74859565771665,RGS2;EDN3;DUSP1
