Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Group,Pathway,-log10(adj P)
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),5/73,9.484731096579772e-07,0.000145731386149,0,0,33.2269385026738,460.80488589003227,EDN3;JAML;CXCR1;CXCR2;CXCL13,ADC,GO_Biological_Process_2023: Granulocyte Chemotaxis (GO:0071621),3.8364469042123135
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),5/70,7.684710519251137e-07,0.000145731386149,0,0,34.76573426573427,489.4620078386217,EDN3;JAML;CXCR1;CXCR2;CXCL13,ADC,GO_Biological_Process_2023: Neutrophil Chemotaxis (GO:0030593),3.8364469042123135
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),5/77,1.2385103638726998e-06,0.000145731386149,0,0,31.374684343434343,426.7459448417509,EDN3;JAML;CXCR1;CXCR2;CXCL13,ADC,GO_Biological_Process_2023: Neutrophil Migration (GO:1990266),3.8364469042123135
Reactome_2022,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,7/327,1.3954583917386954e-05,0.001500117771119,0,0,10.224479166666669,114.30663537689595,HCAR2;EDN3;CXCR1;CXCR2;PROK2;UTS2;CXCL13,ADC,Reactome_2022: Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,2.823874644051438
Reactome_2022,Peptide Ligand-Binding Receptors R-HSA-375276,6/196,8.080084836100839e-06,0.001500117771119,0,0,14.512362301101591,170.17353037669469,EDN3;CXCR1;CXCR2;PROK2;UTS2;CXCL13,ADC,Reactome_2022: Peptide Ligand-Binding Receptors R-HSA-375276,2.823874644051438
Reactome_2022,GPCR Ligand Binding R-HSA-500792,7/458,0.0001179876999802,0.0063607721874882,0,0,7.206208425720621,65.17965204713813,HCAR2;EDN3;CXCR1;CXCR2;PROK2;UTS2;CXCL13,ADC,Reactome_2022: GPCR Ligand Binding R-HSA-500792,2.196490158501207
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,8/619,0.0001183399476742,0.0063607721874882,0,0,6.176200550876213,55.8448914007789,HCAR2;EDN3;CXCR1;CXCR2;PROK2;UTS2;CXCL13;ARHGEF40,ADC,Reactome_2022: GPCR Downstream Signaling R-HSA-388396,2.196490158501207
Reactome_2022,Signaling By GPCR R-HSA-372790,8/689,0.0002461613907263,0.0105849398012329,0,0,5.52129221732746,45.87930564842872,HCAR2;EDN3;CXCR1;CXCR2;PROK2;UTS2;CXCL13;ARHGEF40,ADC,Reactome_2022: Signaling By GPCR R-HSA-372790,1.9753116075611221
Reactome_2022,Chemokine Receptors Bind Chemokines R-HSA-380108,3/56,0.0003496416918617,0.0125288272917131,0,0,24.48482362592289,194.86495808619284,CXCR1;CXCR2;CXCL13,ADC,Reactome_2022: Chemokine Receptors Bind Chemokines R-HSA-380108,1.9020895774154765
Reactome_2022,Immune System R-HSA-168256,13/1943,0.0006107418254312,0.0187584989239613,0,0,3.371804835924007,24.95417539826086,GCA;TRAT1;KRT1;PSMB9;JAML;CXCR1;SELL;CXCR2;LAIR2;MNDA;LTB;ICOS;MUC21,ADC,Reactome_2022: Immune System R-HSA-168256,1.7268019172961375
