Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Plasma Membrane Invagination (GO:0099024),5/26,0.0014736154505116,0.0184970774157696,0,0,6.967532467532467,45.42856535974864,MSR1;MARCO;ITGAM;CD36;FCGR2B
GO_Biological_Process_2023,Arachidonic Acid Metabolic Process (GO:0019369),7/52,0.0015866806431789,0.0197445992105928,0,0,4.560283687943262,29.39609525767831,CYP2J2;DAGLA;CYP2S1;PLA2G4C;ALOX15;CYP2E1;CYP4F11
GO_Biological_Process_2023,Icosanoid Metabolic Process (GO:0006690),7/52,0.0015866806431789,0.0197445992105928,0,0,4.560283687943262,29.39609525767831,CYP2J2;DAGLA;CYP2S1;PLA2G4C;ALOX15;NLRC4;CYP4F11
GO_Biological_Process_2023,Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862),4/16,0.0016018593288831,0.0197631106089125,0,0,9.744326777609682,62.72023866991592,SYK;SRC;TREM2;HLA-DRB1
GO_Biological_Process_2023,Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045953),4/16,0.0016018593288831,0.0197631106089125,0,0,9.744326777609682,62.72023866991592,CEACAM1;LILRB1;LGALS9;KIR2DL4
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),29/483,0.0016857824997645,0.0207100173481718,0,0,1.896312996980024,12.108954868152974,CD86;CSF1R;RTKN2;KIF14;TNFRSF11A;NOD2;CSF2RA;HOXC10;CLEC7A;SIX2;GCNT2;CHP2;HMOX1;HAS2;HES5;TBX1;EDN1;EDN2;STAT1;FN1;NCCRP1;NR4A3;CEACAM6;TNFSF4;HPSE;FOLR2;EZH2;LGMN;HBEGF
GO_Biological_Process_2023,Positive Regulation Of Response To Wounding (GO:1903036),5/27,0.0017596334461592,0.021482607735228,0,0,6.650482093663912,42.18167866092016,CLEC7A;CLDN1;SCARF1;DUOX2;HBEGF
GO_Biological_Process_2023,Metal Ion Transport (GO:0030001),14/171,0.0017664670977201,0.021482607735228,0,0,2.6269433600438328,16.65159952676626,KCNG1;CCR1;RYR1;KCNJ5;CYP27B1;CCL8;KCNS1;KCNS3;KCNMA1;CDH23;KCNMB3;CCL3;SCN2A;KCNJ2
GO_Biological_Process_2023,Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224),7/53,0.0017766380088999,0.021482607735228,0,0,4.460915818686401,28.25112467963043,CD86;RTKN2;TLR7;LGALS9;NOD2;TLR4;TLR2
GO_Biological_Process_2023,Regulation Of Dendritic Cell Antigen Processing And Presentation (GO:0002604),3/8,0.0018082000968688,0.021482607735228,0,0,17.51963746223565,110.64392751409744,NOD2;CD68;FCGR2B
GO_Biological_Process_2023,Regulation Of Interleukin-18 Production (GO:0032661),3/8,0.0018082000968688,0.021482607735228,0,0,17.51963746223565,110.64392751409744,IL10;GBP5;TLR2
GO_Biological_Process_2023,Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway (GO:0002767),3/8,0.0018082000968688,0.021482607735228,0,0,17.51963746223565,110.64392751409744,LILRB1;LILRB2;LILRB4
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Degranulation (GO:0043301),3/8,0.0018082000968688,0.021482607735228,0,0,17.51963746223565,110.64392751409744,CEACAM1;LGALS9;FCGR2B
GO_Biological_Process_2023,Positive Regulation Of Memory T Cell Differentiation (GO:0043382),3/8,0.0018082000968688,0.021482607735228,0,0,17.51963746223565,110.64392751409744,TNFSF4;HLA-DRA;HLA-DRB1
GO_Biological_Process_2023,Intermediate Filament Organization (GO:0045109),8/68,0.0018255026753525,0.0215992878022249,0,0,3.9117199391171993,24.666914338971264,KRT80;KRT4;KRT24;TCHH;KRT78;EPPK1;KRT86;INA
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),19/272,0.0019716395170101,0.0232331562677887,0,0,2.2183213206231107,13.817679136365124,CCR1;CSF1R;SEMA4A;EDN1;SEMA7A;SRC;FN1;CLDN1;GPNMB;CCL7;CEACAM6;PLAU;CLEC7A;GCNT2;CCL3;HAS2;EPHB2;EPHA2;HBEGF
GO_Biological_Process_2023,Toll-Like Receptor 4 Signaling Pathway (GO:0034142),4/17,0.00204009587162,0.0238528755797379,0,0,8.994297684161527,55.7175018176679,OAS1;LGALS9;PIK3AP1;TLR4
GO_Biological_Process_2023,Defense Response To Gram-positive Bacterium (GO:0050830),9/85,0.0020407552020073,0.0238528755797379,0,0,3.476632702182285,21.5357764835312,RNASE7;GBP2;SPRR2A;LYZ;RNASE1;CAMP;MPEG1;GBP4;TLR2
GO_Biological_Process_2023,Positive Regulation Of Defense Response To Virus By Host (GO:0002230),5/28,0.0020842989154803,0.0242635926169018,0,0,6.361001317523057,39.26851403075983,TRIM6;DTX3L;STAT1;LILRB1;PARP9
GO_Biological_Process_2023,Calcium Ion Homeostasis (GO:0055074),10/102,0.0021056534892543,0.0244137414597486,0,0,3.1933289080650518,19.68089932131222,CCR1;CYP27B1;CCL13;EDN1;EDN2;CCL8;CCL7;CCL3;ATP2C2;SLC8A1
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),31/537,0.0021859088137832,0.0252428749815694,0,0,1.8194879116220497,11.14568004710504,CEBPA;ADAMDEC1;CXCL8;CCL3L1;TREM2;IFIT3;CYP27B1;GPNMB;GNG4;ADORA3;HOXC9;EPHB2;E2F7;TBX1;IL10;CDKN2B;CDKN2A;NR1H3;LILRB1;ST18;WARS1;TMIGD3;DCSTAMP;IL1A;FABP3;NEURL1;TGFBI;ATF5;FBP1;APOBEC3A;APOBEC3B
GO_Biological_Process_2023,Intracellular Calcium Ion Homeostasis (GO:0006874),12/139,0.0023621143240159,0.0271690201332029,0,0,2.779370802233182,16.810185374850384,CCR1;RYR1;TRPM2;CCL13;EDN1;EDN2;CCL8;CCL7;CDH23;CCL3;ATP2C2;SLC8A1
GO_Biological_Process_2023,Response To Interferon-Beta (GO:0035456),5/29,0.0024505584448447,0.0280744532947096,0,0,6.0956439393939394,36.64359380262856,TRIM6;AIM2;OAS1;STAT1;XAF1
GO_Biological_Process_2023,Regulation Of Osteoclast Differentiation (GO:0045670),6/42,0.0024991078315665,0.028183166269875,0,0,4.880880121396054,29.245362343771816,CCR1;TNFAIP6;CCL3;TNFRSF11A;LILRB4;TLR4
